up down i
0 0 inf1
1 1 02
225.4720951900557 225.4720951900558 -99.5564861367181561
230.1683590456304 230.1683590456305 -99.5655354175759362
234.8807519334632 234.8807519334632 -99.5742520441678463
239.609017837169 239.609017837169 -99.5826534372427164
244.3529087408748 244.3529087408748 -99.5907558436063565
249.1121842599652 249.1121842599652 -99.5985744322500266
253.8866112942071 253.8866112942071 -99.6061233812597167
258.6759637015832 258.6759637015834 -99.6134159565156468
263.4800219913121 263.4800219913124 -99.6204645830670869
268.2985730346643 268.2985730346646 -99.6272809099620170
273.1314097923022 273.1314097923025 -99.6338758692161571
277.9783310569823 277.9783310569826 -99.6402597295273672
282.8391412105514 282.8391412105516 -99.6464421452703773
287.7136499942574 287.7136499942577 -99.6524322012460474
292.601672291477 292.6016722914773 -99.6582384536054375
297.5030279220298 297.5030279220301 -99.6638689673229876
302.4175414473195 302.4175414473198 -99.6693313505513377
307.3450419855963 307.3450419855965 -99.6746327861548678
312.2853630366935 312.2853630366938 -99.6797800606869279
317.2383423156388 317.238342315639 -99.6847795910480680
322.203821594584 322.2038215945843 -99.6896374490374881
327.1816465525417 327.181646552542 -99.6943593839885182
332.1716666324505 332.1716666324508 -99.6989508436593383
337.1737349051305 337.1737349051307 -99.703416993532784
342.1877079397152 342.1877079397154 -99.7077627346637985
347.2134456801822 347.2134456801825 -99.7119927202010586
352.250811327626 352.2508113276263 -99.7161113706933187
357.2996712279433 357.2996712279436 -99.7201228882850688
362.3598947646242 362.3598947646245 -99.7240312698928189
367.4313542563614 367.4313542563617 -99.727840319445990
372.5139248592096 372.5139248592099 -99.7315536592685491
377.6074844730469 377.6074844730472 -99.7351747406714792
382.7119136521015 382.7119136521018 -99.7387068538167593
387.8270955193282 387.8270955193285 -99.7421531369125694
392.9529156844272 392.9529156844275 -99.7455165847903295
398.0892621653157 398.089262165316 -99.7488000569117596
403.2360253128709 403.2360253128712 -99.7520062848492397
408.3930977387766 408.3930977387769 -99.755137879279498
413.560374246315 413.5603742463153 -99.7581973365262299
418.7377517639543 418.7377517639546 -99.76118704468676100
423.9251292815937 423.925129281594 -99.76410928937042101
429.122407789332 429.1224077893323 -99.76696625907947102
434.329490218639 434.3294902186393 -99.76976005025671103
439.5462813858101 439.5462813858103 -99.77249267202377104
444.7726879375965 444.7726879375967 -99.77516605063214105
450.0086182989066 450.0086182989069 -99.77778203364642106
455.253982622481 455.2539826224813 -99.78034239387885107
460.5086927404478 460.5086927404481 -99.78284883309178108
465.7726621176739 465.7726621176742 -99.78530298548371109
471.0458058068266 471.0458058068269 -99.78770642097389110
476.3280404050702 476.3280404050705 -99.79006064829832111
481.6192840123227 481.619284012323 -99.79236711793112
486.9194561910039 486.9194561910041 -99.79462722483461113
492.2284779272071 492.2284779272074 -99.79684231107254114
497.5462715932349 497.5462715932352 -99.79901366825692115
502.8727609114366 502.8727609114369 -99.80114253987684116
508.2078709192935 508.2078709192938 -99.80323012349437117
513.5515279356974 513.5515279356977 -99.80527757282323118
518.9036595283726 518.9036595283728 -99.80728599969623119
524.2641944823923 524.2641944823926 -99.80925647592869120
529.6330627697454 529.6330627697456 -99.81119003508387121
535.0101955199084 535.0101955199086 -99.81308767414647122
540.3955249913829 540.3955249913831 -99.81495035510967123
545.7889845441582 545.7889845441584 -99.81677900648087124
551.1905086130625 551.1905086130628 -99.81857452471088125
556.6000326819669 556.6000326819671 -99.8203377755511126
562.0174932588078 562.017493258808 -99.82206959534278127
567.4428278513967 567.4428278513969 -99.82377079224241128
572.8759749439856 572.8759749439859 -99.8254421473867129
578.316873974559 578.3168739745593 -99.82708441600067130
583.7654653128247 583.765465312825 -99.82869832845218131
589.2216902388767 589.2216902388769 -99.83028459125556132
594.6854909225044 594.6854909225046 -99.83184388802752133
600.1568104031246 600.1568104031248 -99.83337688039762134
605.6355925703119 605.6355925703122 -99.8348842088762135
611.1217821449067 611.1217821449069 -99.83636649368151136
616.6153246606779 616.6153246606781 -99.83782433552879137
622.116166446522 622.1161664465222 -99.83925831638298138
627.6242546091778 627.624254609178 -99.8406690001771139
633.1395370164379 633.1395370164381 -99.84205693349809140
638.6619622808408 638.6619622808411 -99.84342264624176141
644.1914797438253 644.1914797438255 -99.84476665223863142
649.7280394603309 649.7280394603312 -99.84608944985192143
655.2715921838295 655.2715921838297 -99.84739152254913144
660.8220893517725 660.8220893517728 -99.84867333944895145
666.3794830714397 666.3794830714399 -99.849935355844146
671.9437261061754 671.9437261061756 -99.85117801370144147
677.5147718619995 677.5147718619997 -99.85240174214186148
683.0925743745804 683.0925743745806 -99.85360695789801149
688.6770882965573 688.6770882965575 -99.85479406575392150
694.2682688852008 694.268268885201 -99.85596345896587151
699.8660719904005 699.8660719904008 -99.85711551966567152
705.4704540429688 705.470454042969 -99.85825061924722153
711.0813720432494 711.0813720432496 -99.85936911873723154
716.6987835500236 716.6987835500238 -99.86047136915086155
722.3226466697009 722.3226466697012 -99.86155771183275156
727.9529200457886 727.9529200457888 -99.86262847878447157
733.5895628486278 733.589562848628 -99.86368399297876158
739.2325347653911 739.2325347653913 -99.86472456866132159
744.8817959903304 744.8817959903306 -99.86575051164054160
750.5373072152697 750.5373072152699 -99.86676211956603161
756.1990296203332 756.1990296203335 -99.86775968219612162
761.8669248649029 761.8669248649031 -99.868743481655163
767.5409550787977 767.5409550787979 -99.86971379268002164
773.221082853668 773.2210828536682 -99.87067088285939165
778.907271234599 778.9072712345992 -99.87161501286094166
784.5994837119155 784.5994837119157 -99.87254643665213167
